image_path,label_path
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_000.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_000.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_001.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_001.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_002.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_002.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_003.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_003.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_004.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_004.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_005.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_005.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_006.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_006.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_007.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_007.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_008.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_008.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_009.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_009.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_010.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_010.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_011.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_011.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_012.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_012.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_013.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_013.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_014.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_014.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_015.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_015.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_016.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_016.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_017.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_017.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_018.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_018.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_019.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_019.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_020.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_020.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_021.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_021.npy
/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/images/train_022.npy,/Users/siva/Desktop/KneeSeg2Fit/data/../data/synth_seg/labels/train_022.npy
